"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","673b3fd26221dab5a11bb274","673b3fda6221dab5a11bcc2a","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb22b","673b3fda6221dab5a11bcc2b","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb45f","673b3fda6221dab5a11bcc2c","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fd56221dab5a11bc7cb","673b3fda6221dab5a11bcc2c","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb489","673b3fda6221dab5a11bcc2d","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb352","673b3fda6221dab5a11bcc2e","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb430","673b3fda6221dab5a11bcc2f","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fde6221dab5a11be1f4","673b3fda6221dab5a11bcc2f","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb2be","673b3fda6221dab5a11bcc30","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fd46221dab5a11bb89f","673b3fda6221dab5a11bcc31","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb393","673b3fda6221dab5a11bcc32","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fdf6221dab5a11be89c","673b3fda6221dab5a11bcc32","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb2bc","673b3fda6221dab5a11bcc33","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb3b5","673b3fda6221dab5a11bcc34","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fda6221dab5a11bcf86","673b3fda6221dab5a11bcc34","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb467","673b3fda6221dab5a11bcc35","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb391","673b3fda6221dab5a11bcc36","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
